id,name_,catalogue_price,category,material_id,introduction_date
467c6d9f-d8a6-4bea-af13-bb65af355ca9,Bacon_289,93,Tools,3469cc7b-d108-40b7-b800-d9739aa0e4f9,2006-10-26
620c88f0-bf2b-4001-836c-b758e148fcdf,Granite sausages_331,70,Plumbing,2ccb1c94-2293-4cb7-b0c7-9cae08203b1f,2009-05-27
d52e9bb8-c8cc-4a25-8c67-4f90c133a711,Plastic bacon_109,74,Flooring,ea5c757b-836b-4b68-b251-d087f4929c88,2019-08-19
1c8515d5-c865-4c20-af9a-f33992687de7,Hat_588,84,Outdoor,5bb14b26-1c8b-4fd0-bdf1-39a1d6a744f0,2016-04-19
f035627b-793d-4c80-8fba-5b7a76fb14bc,Table_989,6,Kitchen,ea5c757b-836b-4b68-b251-d087f4929c88,2015-10-12
8a69cc4c-972e-45e7-b48b-ad1d5d20df29,Tasty granite bike_438,59,Flooring,2ccb1c94-2293-4cb7-b0c7-9cae08203b1f,2006-04-01
98beafeb-56c6-4298-852e-438feba281e0,New granite table_333,43,Plumbing,4000b7dc-cf99-4bc5-80e8-ebe3353342ce,2000-03-30
e3a8da8a-e972-4269-932a-3ca779d3dacd,Generic table_986,6,Outdoor,a93d06e7-bb88-4fd2-a401-e02f1330b873,2007-01-07
de14d1f2-31ef-40f5-ba99-b6e5eb45192a,Hat_880,88,Kitchen,4000b7dc-cf99-4bc5-80e8-ebe3353342ce,2013-01-02
4602a1a3-bce6-4189-ab95-a1313829a90e,Concrete shirt_978,98,Flooring,f1fb6bd9-700f-4a43-af9d-e88dc02e9c62,2008-07-02
39293a8c-7ad3-4d08-bd34-b4637a642909,Soft shoes_615,28,Plumbing,5bb14b26-1c8b-4fd0-bdf1-39a1d6a744f0,2001-06-27
6839798d-f914-47b3-b35b-03e17efce93a,Used cotton pizza_311,63,Storage,4000b7dc-cf99-4bc5-80e8-ebe3353342ce,2020-08-16
62c2ce9f-1632-4353-b111-767d1f6b9604,Soft pants_40,27,Storage,4000b7dc-cf99-4bc5-80e8-ebe3353342ce,2002-12-21
df4cb055-5af9-4f66-bbba-19b650ff3cad,Intelligent plastic hat_837,5,Storage,7d3109aa-6129-4432-8e61-6ba0c740d23b,2010-05-01
081f7c09-b206-41e9-a4f5-66768984d45e,Fresh shoes_556,79,Storage,f1fb6bd9-700f-4a43-af9d-e88dc02e9c62,2012-06-15
c1dab0bc-ab6d-47a1-9fd6-79a6c9347ac3,Sausages_384,88,Tools,7d3109aa-6129-4432-8e61-6ba0c740d23b,2002-01-11
68ce8f12-1217-4d6c-9f0c-0383e578097d,Wooden tuna_978,71,Outdoor,a81640ef-f8f2-44d3-ba59-913aef97eadb,2022-10-31
b3296601-f449-489b-997c-0d8e655b5345,Wooden bacon_825,86,Flooring,4000b7dc-cf99-4bc5-80e8-ebe3353342ce,2009-02-23
2eaacc84-4155-4b0b-92b6-f861acd1b661,Intelligent car_489,58,Outdoor,ea5c757b-836b-4b68-b251-d087f4929c88,2007-02-14
e7c2a3f9-cc7a-4e26-9530-c2b1dad1bbf5,Bike_250,58,Tools,2ccb1c94-2293-4cb7-b0c7-9cae08203b1f,2017-09-27
f306baf6-77b3-4f96-8878-8145cab23986,Incredible ball_789,18,Outdoor,ea5c757b-836b-4b68-b251-d087f4929c88,2022-12-25
7cbb5db7-6f30-4018-bc0a-e52a83c23374,Tasty plastic car_626,34,Flooring,ea5c757b-836b-4b68-b251-d087f4929c88,2007-07-12
2c6a7e62-9f97-4422-ae3d-41b481db5c3f,Used wooden bacon_993,87,Storage,a81640ef-f8f2-44d3-ba59-913aef97eadb,2022-09-18
f7eb17df-16d9-4748-a9de-58ca7cc41d66,Fantastic wooden bacon_666,63,Tools,3469cc7b-d108-40b7-b800-d9739aa0e4f9,2016-09-25
e65d4406-3ae0-4dc2-934e-6205eed18e6a,Table_608,17,Storage,7d3109aa-6129-4432-8e61-6ba0c740d23b,2018-10-22
7908519d-825d-447f-af76-7222c650d673,Steel shoes_177,29,Storage,7d3109aa-6129-4432-8e61-6ba0c740d23b,2016-02-20
56c21458-b64b-4b88-bad5-5f93ccb00ca5,Frozen bacon_434,36,Kitchen,7d3109aa-6129-4432-8e61-6ba0c740d23b,2007-10-23
335eeed4-7bb2-432a-afe4-59a8e2422f67,Sausages_595,64,Outdoor,5bb14b26-1c8b-4fd0-bdf1-39a1d6a744f0,2009-12-14
130e3d2b-4ec4-4aa3-bbc7-5c21dfdabe01,Sleek chicken_741,8,Plumbing,f1fb6bd9-700f-4a43-af9d-e88dc02e9c62,2012-07-17
9674ccbf-dcc7-447c-ab6b-1148af45e3f3,Incredible frozen mouse_301,31,Outdoor,7d3109aa-6129-4432-8e61-6ba0c740d23b,2016-01-07
b985f567-ac21-43d8-a272-dd9533c7cf9e,Generic wooden gloves_328,82,Plumbing,2ccb1c94-2293-4cb7-b0c7-9cae08203b1f,2011-05-23
57d5cb4c-ee79-410a-ab90-617fc578d47d,Fantastic fresh hat_696,63,Tools,7d3109aa-6129-4432-8e61-6ba0c740d23b,2000-12-30
5d81fe2c-1a61-41f5-92c3-fd57443e11ce,Pants_780,47,Plumbing,f1fb6bd9-700f-4a43-af9d-e88dc02e9c62,2001-08-13
1f106ba7-3412-4935-9fd9-a19e5b27305a,Computer_448,17,Kitchen,7d3109aa-6129-4432-8e61-6ba0c740d23b,2014-12-25
617a4c6d-8e91-4466-a799-85598b1610ad,Bacon_794,49,Kitchen,a93d06e7-bb88-4fd2-a401-e02f1330b873,2005-01-09
7f7e6332-07e0-4403-9c6f-65bcc995129c,Incredible ball_686,75,Kitchen,7d3109aa-6129-4432-8e61-6ba0c740d23b,2021-09-28
0d3ce9a9-98b5-4454-a6ae-e9429dfd1f9a,Awesome ball_865,3,Tools,4000b7dc-cf99-4bc5-80e8-ebe3353342ce,2010-04-05
3d8c3a04-8cb0-454a-b70b-8227fc5190ac,Towels_710,23,Tools,5bb14b26-1c8b-4fd0-bdf1-39a1d6a744f0,2015-11-26
3beedd8d-fe54-4119-980b-b24ef74f2872,Car_848,48,Plumbing,2ccb1c94-2293-4cb7-b0c7-9cae08203b1f,2013-01-25
35a313bd-dae7-48be-b174-31f33e727644,Steel shoes_126,98,Tools,4000b7dc-cf99-4bc5-80e8-ebe3353342ce,2020-12-30
831162e0-1652-496b-859c-b020cef26e7a,Bike_535,91,Outdoor,ea5c757b-836b-4b68-b251-d087f4929c88,2015-06-09
50f15487-7e95-451b-ba96-ebc23a3fae3f,Ball_42,73,Tools,2ccb1c94-2293-4cb7-b0c7-9cae08203b1f,2008-05-14
5c90c855-194e-4430-a65e-dd862e5a1cbe,Rubber cheese_507,34,Flooring,3469cc7b-d108-40b7-b800-d9739aa0e4f9,2000-04-06
e3f8a151-7cd2-4f09-a7bb-5188288d511e,For repair frozen keyboard_249,49,Kitchen,3469cc7b-d108-40b7-b800-d9739aa0e4f9,2005-08-08
94f0d2a7-776c-4cff-98a2-243a684d814c,Handcrafted shirt_749,13,Tools,a93d06e7-bb88-4fd2-a401-e02f1330b873,2002-07-16
9b43aa72-10ce-40ac-9e16-316156770b11,Gorgeous towels_732,51,Flooring,3469cc7b-d108-40b7-b800-d9739aa0e4f9,2008-05-02
e415ff01-501f-4053-bc01-df3e1009d26c,Intelligent chips_950,69,Flooring,f1fb6bd9-700f-4a43-af9d-e88dc02e9c62,2020-02-14
65744400-37bb-445b-a2fc-cc2f07b7e0e3,Computer_453,9,Plumbing,a81640ef-f8f2-44d3-ba59-913aef97eadb,2001-05-11
6cc60b52-f3f0-4b95-b391-c103e6fbf160,For repair granite chicken_877,19,Outdoor,2ccb1c94-2293-4cb7-b0c7-9cae08203b1f,2004-07-27
fc1e8b96-1aa5-473f-ad74-97139617bb4b,Tasty gloves_580,59,Flooring,3469cc7b-d108-40b7-b800-d9739aa0e4f9,2012-12-28
56debd4d-0ff9-4918-b99f-1e3423a0af8e,Practical computer_352,89,Kitchen,a81640ef-f8f2-44d3-ba59-913aef97eadb,2022-05-22
