employee_id,return_id
9d97a7e8-84a0-4654-9c5c-278f21a31eac,1c037b21-ef7d-49b0-bbc5-46f82f3a0d72
1e03be5f-6400-40b4-a0ad-b569ff5e3ca3,a29ee8fd-5129-415a-894e-7cb9909be0a7
9003bb08-1e52-49cf-99a7-7f1576081dfd,aa90319b-3ebe-4b98-b865-32ae996bbbfd
cb1c840b-cb5a-4e9e-a49b-61a352f02f1d,75bd49f9-c758-4157-b299-ed15a28e864e
fd5be3a8-b7cb-44d9-9517-b7e5a5bce57a,ddbea2e1-2a5f-4297-bc71-0d1f7e39dc22
9c8c21d9-2d37-4aaf-bee8-6e2e377d1ada,0b03593e-8771-4174-b371-706d4d4e91c0
d8a31c2b-e9e8-432e-ae09-dce229961793,6bf53710-acd2-4167-87ef-7a7c29d33c01
fed14753-58aa-42cd-af94-d0930ef9e68a,b1d8777d-dd50-44a4-8056-1b80e6c1fcc5
8351522f-4819-40f6-b276-1cc5c6788f26,b9b3abb3-3fdf-4263-bc01-c7b77676e960
10fcd5ef-eef1-4768-998a-8fe37196aaf3,3ce679b8-c649-486d-8906-8caf5a6faa12
8c8d6290-8788-4bdd-a0fa-3689adf54dca,4d0b9501-ebab-4f79-9a9b-aed5143698bf
37676011-a4e3-48b7-be56-cc69a5ad10cf,ac3318d5-729d-491f-a3cc-f6f7f5c0a192
57bfbf7b-7e18-43be-aeae-b9f932f5bcd4,529f6413-750f-4d29-bb0f-6f11b5161b6f
9d448f14-edae-46f0-9487-63c409482f36,893ded61-6f74-4355-a76e-fee50ee584e3
43835482-4f40-41b6-9217-2ef6325f6187,e94a06fc-c466-4ed6-8705-15f778901d94
a404a51e-7c10-4d45-a4f9-1fa424d1ea42,6358670d-709b-43c7-9ed2-2f34ddd7b2b2
c78c1b53-adb9-4f0d-8420-c2f670e5c270,c79e2aa4-7271-4930-8de5-b0ef13a4c74f
