id,return_id,issue_date,resolve_date,complaint
40f9c4e1-4560-438f-bfa3-ac7a381d1c64,47411678-b882-48ab-aa5d-4989bda7131d,2016-07-12 00:00:00,2016-07-18 00:00:00,Zwykle przyjemność wilk królowa strefa stawać się syn.
3f543ade-b27a-42bf-aebd-986f7fbfaca2,445814ff-77e8-4b6d-bd40-054d958f3e56,2017-09-06 00:00:00,2017-09-14 00:00:00,Wiara zmęczony żywność gęsty.
0078dbe4-a194-4cfd-8082-d78f97c02b70,c4452de4-ce05-48b0-bbe9-14796a3305ae,2001-03-08 00:00:00,2001-03-18 00:00:00,Spokojny określać grób temu obiad.
1374283c-6f21-4c8f-bb37-29dc1a3e38c0,c0167f5a-8e93-4260-97fa-9bb23b0dc39e,2004-05-04 00:00:00,2004-05-06 00:00:00,Pierwiastek dość sygnał wyłącznie ubogi.
130f2acf-e453-41d9-a3ae-49b3eabe51be,2896c869-cb1b-46c5-8959-6cc6cda88fc4,2018-07-10 00:00:00,2018-07-19 00:00:00,Szybko gleba wynik przejście szkoła jakość.
8f16a3ce-3d6f-41cd-b09e-aa1c2c6279c9,8427f9df-ed95-4d87-8283-3347d99ce433,2019-09-03 00:00:00,2019-09-06 00:00:00,Jednak gęsty zmienić pokazywać.
a30acdeb-7b27-46f1-9425-93411c8f4404,63b71971-649f-48b4-908c-ee55da71f486,2013-04-28 00:00:00,2013-05-05 00:00:00,Wkrótce wyścig jako obiekt wziąć miód w celu.
275fb241-b175-4492-81fd-aad6949039fb,0d36961a-a7b0-457b-abe5-a7da3b0c5985,2005-04-27 00:00:00,2005-05-07 00:00:00,Matka jednak trudny grób godzina bohater.
18b1d029-d03b-417c-8aba-3971eef1bdf2,b760b6b2-993d-4863-89ca-f709013d2d86,2006-02-15 00:00:00,2006-02-25 00:00:00,Moc o niezwykły wrażenie zmiana znać głos.
688e5558-5c79-4946-a0df-71fd93ff0166,bd5e06f4-230f-498e-a236-88a827a30bc2,2008-11-08 00:00:00,2008-11-14 00:00:00,Połowa okrągły zwolennik czeski nauczycielka ponownie przyjść niebieski.
ff709516-9ca8-47b9-82e6-3ced2c4da765,baa00edb-1a17-4107-a9d0-4b425abdcbe6,2013-12-25 00:00:00,2013-12-31 00:00:00,Katastrofa lotnisko łyżka bóg kobiecy jajo pusty.
8fb57251-99c5-43c2-8c4f-2770db3ffc78,b85ec231-2501-43fc-9e88-2bd10250dc02,2004-04-18 00:00:00,2004-04-26 00:00:00,Czyn umowa chrześcijański przed płacić jeść student.
